param n := 10;
param s := 7;
param t := 3;
set A :=
1 3 
1 4 
1 5 
1 6 
2 1 
2 3 
2 6 
2 10 
4 1 
4 6 
4 10 
5 1 
5 3 
5 6 
6 1 
6 2 
6 8 
6 9 
7 1 
7 6 
7 8 
7 10 
8 4 
8 5 
8 6 
9 1 
9 2 
10 2 
10 4 
10 5 
;
param: capacity:=
1 3 3.5 
1 4 8.4 
1 5 4.6 
1 6 9.1 
2 1 3.8 
2 3 7.7 
2 6 9.1 
2 10 9.1 
4 1 4.9 
4 6 5.6 
4 10 3.3 
5 1 7.1 
5 3 9.2 
5 6 6.6 
6 1 3.1 
6 2 4.2 
6 8 5.6 
6 9 6.6 
7 1 8.5 
7 6 3.5 
7 8 7.9 
7 10 8.1 
8 4 4.5 
8 5 6.5 
8 6 7.6 
9 1 8.3 
9 2 6.5 
10 2 3.8 
10 4 4.1 
10 5 9.9 
;
param: cost:=
1 3 5.2 
1 4 4.7 
1 5 9.6 
1 6 6.8 
2 1 3.5 
2 3 8.7 
2 6 4.8 
2 10 7.4 
4 1 7.1 
4 6 6.1 
4 10 2.7 
5 1 7.1 
5 3 7.8 
5 6 9.3 
6 1 8.8 
6 2 9.1 
6 8 9.3 
6 9 6.3 
7 1 3.4 
7 6 6.6 
7 8 9.6 
7 10 6.2 
8 4 7.7 
8 5 1.7 
8 6 9.1 
9 1 4.5 
9 2 2.5 
10 2 5.3 
10 4 9.9 
10 5 9.5 
;
